"id","code","name","municipality_id","department_id","postal_code"
95001,"95001000","SAN JOSE DEL GUAVIARE GUAVIARE","95001","95","950001"
95015,"95015000","CALAMAR GUAVIARE","95015","95","953001"
95025,"95025000","EL RETORNO GUAVIARE","95025","95","951001"
95200,"95200000","MIRAFLORES GUAVIARE","95200","95","952001"
97001,"97001000","MITU VAUPES","97001","97","970001"
97161,"97161000","CARURU VAUPES","97161","97","973001"
97511,"97511000","PACOA VAUPES","97511","97","972007"
97666,"97666000","TARAIRA VAUPES","97666","97","972040"
97777,"97777000","PAPUNAUA VAUPES","97777","97","973047"
97889,"97889000","YAVARATE VAUPES","97889","97","971008"
99001,"99001000","PUERTO CARRENO VICHADA","99001","99","990001"
99524,"99524000","LA PRIMAVERA VICHADA","99524","99","992001"
99624,"99624000","SANTA ROSALIA VICHADA","99624","99","992050"
99773,"99773000","CUMARIBO VICHADA","99773","99","991001"
